Name,Latitude,Longitude,,keyword,
둔대JC,37.32235903,126.9050934,,,
둔산IC,35.90135526,128.6900549,,,
마곡사IC,36.49495763,127.0240812,,,
마도IC,37.18796898,126.7854495,,,
마도JC,37.18827539,126.775745,,,
마산TG,35.25891348,128.6061853,,,
마성IC,37.28348864,127.1764137,,,
마장JC,37.25334742,127.4155883,,,
만종JC,37.36508741,127.9023848,,,
망상IC,37.58390091,129.0929026,,,
매송IC,37.27754218,126.8972883,,,
면온IC,37.56112162,128.3670684,,,
면천IC,36.82354241,126.6474487,,,
목감IC,37.39655039,126.8715624,,,
목동교IC,37.53043749,126.8898558,,,
목천IC,36.75968465,127.2178672,,,
목포IC,34.84094979,126.4241644,,,
목포TG,34.86260937,126.4863613,,,
무안IC,35.00773393,126.4920464,,,
무안공항IC,35.00254434,126.390697,,,
무주IC,35.97728909,127.6459421,,,
무창포IC,36.23850917,126.5612186,,,
문경새재IC,36.70118387,128.1114051,,,
문막IC,37.31196655,127.8266131,,,
문산IC,35.17229851,128.1600892,,,
문수IC,35.51724729,129.2495825,,,
문의청남대IC,36.52984023,127.507462,,,
문평IC,35.06717809,126.5969292,,,
문학IC,37.4362996,126.6757582,,,
문흥JC,35.19302674,126.9294634,,,
물금IC,35.30853362,129.0121419,,,
물왕TG,37.39116602,126.828976,,,
미사IC,37.58097442,127.1884979,,,
민락IC,37.74775416,127.1219165,,,
밀양IC,35.50170321,128.7907267,,,
밀양JC,35.51920547,128.7957648,,,
반포IC,37.50330124,127.018324,,,
발안IC,37.12362148,126.882328,,,
배내골IC,35.52729527,129.0074513,,,
백양사IC,35.42833467,126.8034841,,,
벌교IC,34.83859232,127.3255942,,,
범서IC,35.61791608,129.2836157,,,
범서IC~,35.61791608,129.2836157,,,
별내IC,37.6593192,127.1172838,,,
보성IC,34.81396849,127.107246,,,
보은IC,36.45669342,127.720579,,,
봉담IC,37.22947738,126.9563776,,,
봉담TG,37.2242561,126.9597294,,,
봉대산JC,37.60725067,126.8503265,,,
부곡IC,37.32387183,126.9605834,,,
부산TG,35.27894643,129.1063665,,,
부산울산시점,0,0,,,울산JC/해운대역
부안IC,35.72628113,126.7688758,,,
부여IC,36.29774168,126.8516915,,,
부천IC,37.52419119,126.777015,,,
부평IC,37.52382271,126.7222046,,,
북강릉IC,37.83563797,128.8147258,,,
북고양IC,37.719586,126.7973899,,,
북공주JC,36.50275507,127.1037059,,,
북광산IC,35.2361763,126.8235301,,,
북광주IC,35.26106031,126.8944057,,,
북구미하이패스IC,36.1431189,128.3017963,,,
북남원IC,35.43872997,127.3122567,,,
북다사IC,35.88635881,128.4648361,,,
북단양IC,37.01494322,128.2884621,,,
북달성TG,35.87103826,128.4592052,,,
북대구IC,35.90915231,128.5811483,,,
북대전IC,36.41133194,127.381433,,,
북로JC,37.59544825,126.8332563,,,
북무안IC,35.01370184,126.4328121,,,
북부산TG,35.22141458,128.9416773,,,
북상주IC,36.53113288,128.1690548,,,
북수원IC,37.31855834,126.9909475,,,
북안IC,35.92709776,129.0107339,,,
북양양IC,38.15445736,128.5859698,,,
북여주IC,37.37281796,127.5265382,,,
북영천IC,36.03226643,128.9163325,,,
북오산IC,37.18363358,127.056718,,,
북원주IC,37.42066917,127.9232182,,,
북의성IC,36.41835511,128.6859964,,,
북의왕IC,37.40645505,126.987675,,,
북인천IC,37.55405354,126.6113118,,,
북진천IC,36.94543268,127.4513205,,,
북창원IC,35.28660272,128.6050966,,,
북창원IC ,35.28660272,128.6050966,,,
북천안IC,36.89675612,127.1891444,,,
북청계IC,37.39869952,127.0064961,,,
북청라IC,37.5592742,126.6230779,,,
북충주IC,37.03485552,127.7983247,,,
북통영IC,34.88917784,128.4127942,,,
북평택TG,37.06642939,126.9925158,,,
북현풍Hi,35.70438657,128.4373113,,북현풍하이패스IC,
불갑산하이패스IC,35.24180244,126.5088145,,,
비룡JC,36.34514556,127.4823866,,,
비봉IC,37.243649,126.8822634,,,
사리현IC,37.68861317,126.8414808,,,
사상IC,35.15263466,128.9716905,,,
